cm,cav,year,month,day
CM16,CAV1,2024,10,10
CM16,CAV2,2024,10,10
CM16,CAV3,2024,10,10
CM16,CAV4,2024,10,10
CM16,CAV5,2024,10,10
CM16,CAV6,2024,10,10
CM16,CAV7,2024,10,10
CM20,CAV1,2024,10,12
CM20,CAV2,2024,10,12
CM20,CAV3,2024,10,12
CM20,CAV4,2024,10,12
CM20,CAV5,2024,10,14
CM20,CAV6,2024,10,13
CM20,CAV7,2024,10,14
CM22,CAV1,2024,10,16
CM22,CAV2,2024,10,16
CM22,CAV3,2024,10,16
CM22,CAV4,2024,10,16
CM22,CAV5,2024,10,16
CM22,CAV6,2024,10,16
CM22,CAV8,2024,10,16
CM24,CAV1,2024,10,12
CM24,CAV2,2024,10,12
CM24,CAV3,2024,10,12
CM24,CAV4,2024,10,12
CM24,CAV5,2024,10,13
CM24,CAV6,2024,10,14
CM24,CAV7,2024,10,14
CM24,CAV8,2024,10,14
CM26,CAV1,2024,10,07
CM26,CAV2,2024,10,07
CM26,CAV3,2024,10,07
CM26,CAV5,2024,10,07
CM26,CAV7,2024,10,07
CM27,CAV1,2024,10,16
CM27,CAV2,2024,10,16
CM27,CAV3,2024,10,16
CM27,CAV4,2024,10,17
CM27,CAV5,2024,10,17
CM27,CAV6,2024,10,17
CM27,CAV8,2024,10,17
CM29,CAV1,2024,10,10
CM29,CAV3,2024,10,10
CM29,CAV4,2024,10,10
CM29,CAV5,2024,10,10
CM29,CAV6,2024,10,10
CM29,CAV7,2024,10,10
CM29,CAV8,2024,10,11
