cm,cav,year,month,day,source
CM01,CAV1,2022,06,30,peak_quench_days_top3
CM01,CAV1,2022,07,01,commissioning
CM01,CAV2,2022,07,01,commissioning
CM01,CAV3,2022,06,30,commissioning
CM01,CAV4,2022,06,30,commissioning
CM01,CAV5,2022,06,17,commissioning
CM01,CAV6,2022,06,30,commissioning
CM01,CAV7,2022,06,30,commissioning
CM01,CAV8,2022,07,01,commissioning
CM04,CAV1,2022,07,18,peak_quench_days_top3
CM04,CAV2,2022,07,18,peak_quench_days_top3
CM04,CAV3,2022,07,18,peak_quench_days_top3
CM04,CAV4,2022,07,18,peak_quench_days_top3
CM04,CAV8,2022,07,18,peak_quench_days_top3
CM07,CAV2,2022,07,29,peak_quench_days_top3
CM07,CAV4,2022,07,29,peak_quench_days_top3
CM07,CAV5,2022,07,29,peak_quench_days_top3
CM07,CAV7,2022,07,29,peak_quench_days_top3
CM07,CAV8,2022,07,29,peak_quench_days_top3
CM12,CAV2,2022,07,13,peak_quench_days_top3
CM12,CAV6,2022,07,13,peak_quench_days_top3
CM12,CAV7,2022,07,13,peak_quench_days_top3
CM12,CAV8,2022,07,13,peak_quench_days_top3
CM12,CAV8,2022,07,14,peak_quench_days_top3
CM16,CAV1,2024,10,10,MPdates_smartsheet
CM16,CAV2,2024,10,10,MPdates_smartsheet
CM16,CAV3,2024,10,10,MPdates_smartsheet
CM16,CAV4,2024,10,10,MPdates_smartsheet
CM16,CAV5,2024,10,10,MPdates_smartsheet
CM16,CAV6,2024,10,10,MPdates_smartsheet
CM16,CAV7,2024,10,10,MPdates_smartsheet
CM16,CAV7,2024,10,11,peak_quench_days_top3
CM16,CAV8,2024,10,10,peak_quench_days_top3
CM16,CAV8,2024,10,11,peak_quench_days_top3
CM20,CAV1,2022,07,13,peak_quench_days_top3
CM20,CAV1,2024,10,12,MPdates_smartsheet
CM20,CAV2,2022,07,13,peak_quench_days_top3
CM20,CAV2,2024,10,12,MPdates_smartsheet
CM20,CAV3,2022,07,13,peak_quench_days_top3
CM20,CAV3,2024,10,12,MPdates_smartsheet
CM20,CAV4,2022,07,13,peak_quench_days_top3
CM20,CAV4,2024,10,12,MPdates_smartsheet
CM20,CAV5,2022,07,12,peak_quench_days_top3
CM20,CAV5,2024,10,13,peak_quench_days_top3
CM20,CAV5,2024,10,14,MPdates_smartsheet
CM20,CAV6,2022,07,12,peak_quench_days_top3
CM20,CAV6,2024,10,13,MPdates_smartsheet
CM20,CAV7,2022,07,12,peak_quench_days_top3
CM20,CAV7,2024,10,13,peak_quench_days_top3
CM20,CAV7,2024,10,14,MPdates_smartsheet
CM20,CAV8,2022,07,12,peak_quench_days_top3
CM22,CAV1,2024,10,16,MPdates_smartsheet
CM22,CAV2,2024,10,16,MPdates_smartsheet
CM22,CAV3,2024,10,16,MPdates_smartsheet
CM22,CAV4,2024,10,16,MPdates_smartsheet
CM22,CAV5,2024,10,16,MPdates_smartsheet
CM22,CAV6,2024,10,16,MPdates_smartsheet
CM22,CAV8,2024,10,16,MPdates_smartsheet
CM22,CAV8,2024,10,17,peak_quench_days_top3
CM24,CAV1,2024,10,12,MPdates_smartsheet
CM24,CAV2,2024,10,12,MPdates_smartsheet
CM24,CAV3,2024,10,12,MPdates_smartsheet
CM24,CAV4,2024,10,12,MPdates_smartsheet
CM24,CAV5,2024,10,13,MPdates_smartsheet
CM24,CAV6,2024,10,14,MPdates_smartsheet
CM24,CAV7,2024,10,14,MPdates_smartsheet
CM24,CAV8,2024,10,14,MPdates_smartsheet
CM25,CAV2,2022,07,14,peak_quench_days_top3
CM25,CAV4,2022,07,14,peak_quench_days_top3
CM25,CAV5,2022,07,14,peak_quench_days_top3
CM25,CAV6,2022,07,14,peak_quench_days_top3
CM26,CAV1,2024,10,07,MPdates_smartsheet
CM26,CAV2,2024,10,07,MPdates_smartsheet
CM26,CAV3,2024,10,07,MPdates_smartsheet
CM26,CAV5,2024,10,07,MPdates_smartsheet
CM26,CAV7,2024,10,07,MPdates_smartsheet
CM27,CAV1,2024,10,16,MPdates_smartsheet
CM27,CAV1,2024,10,17,peak_quench_days_top3
CM27,CAV2,2024,10,16,MPdates_smartsheet
CM27,CAV3,2024,10,16,MPdates_smartsheet
CM27,CAV3,2024,10,17,peak_quench_days_top3
CM27,CAV4,2024,10,17,MPdates_smartsheet
