cm,cav,year,month,day,count,rank
CM01,CAV1,2022,06,30,35,1
CMH1,CAV2,2022,07,08,11,1
CMH2,CAV2,2022,08,12,12,1
CMH2,CAV5,2024,09,28,14,1
CMH2,CAV5,2024,11,06,14,2
CMH2,CAV7,2025,05,20,20,1
CM04,CAV1,2022,07,18,273,1
CM04,CAV2,2022,07,18,159,1
CM04,CAV3,2022,07,18,133,1
CM04,CAV4,2022,07,18,16,1
CM07,CAV2,2022,07,29,93,1
CM07,CAV4,2022,07,29,77,1
CM07,CAV5,2022,07,29,26,1
CM07,CAV7,2022,07,29,35,1
CM07,CAV8,2022,07,29,23,1
CM12,CAV2,2022,07,13,50,1
CM12,CAV6,2022,07,13,11,1
CM12,CAV7,2022,07,13,12,1
CM12,CAV8,2022,07,13,117,1
CM12,CAV8,2022,07,14,31,2
CM13,CAV1,2023,08,06,13,1
CM15,CAV3,2024,03,17,11,1
CM16,CAV7,2024,10,11,77,1
CM16,CAV8,2024,10,11,100,1
CM16,CAV8,2024,10,10,11,2
CM19,CAV1,2023,06,08,12,1
CM20,CAV1,2022,07,13,646,1
CM20,CAV2,2022,07,13,384,1
CM20,CAV3,2022,07,13,157,2
CM20,CAV4,2022,07,13,155,2
CM20,CAV5,2022,07,12,260,1
CM20,CAV6,2022,07,12,193,1
CM20,CAV7,2022,07,12,212,1
CM20,CAV8,2022,07,12,22,1
CM22,CAV8,2024,10,17,239,1
CM25,CAV2,2022,07,14,75,1
CM25,CAV4,2022,07,14,38,1
CM25,CAV5,2022,07,14,52,1
CM25,CAV6,2022,07,14,80,1
CM27,CAV1,2024,10,17,12,2
CM27,CAV3,2024,10,17,23,2
CM29,CAV3,2024,10,11,12,2
CM29,CAV8,2024,10,10,85,1
CM32,CAV1,2022,07,21,125,1
CM32,CAV1,2022,07,22,37,2
CM32,CAV2,2022,07,21,110,1
CM32,CAV3,2022,07,21,94,1
CM32,CAV3,2022,07,22,13,2
CM32,CAV4,2022,07,21,99,1
CM32,CAV4,2022,07,22,14,2
CM32,CAV6,2022,07,21,194,1
CM32,CAV6,2022,07,22,18,2
CM32,CAV7,2022,07,21,143,1
CM32,CAV8,2022,07,21,221,1
CM34,CAV6,2025,09,08,10369,1
CM34,CAV6,2023,08,12,27,2
CM34,CAV7,2025,09,08,3807,1
CM34,CAV8,2025,09,08,2755,1
CM35,CAV4,2025,09,13,1128,1
CM35,CAV5,2025,09,13,1734,1
CM35,CAV6,2025,09,13,22,1
CM35,CAV8,2025,09,13,1761,1
CM34,CAV1,2022,07,08,10,1
CM35,CAV1,2022,07,11,10,1
CM35,CAV8,2022,11,13,10,1
CM04,CAV8,2022,07,18,10,1
CM20,CAV5,2024,10,13,11,1
CM20,CAV7,2024,10,13,10,1
